
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Gastric perforation,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
Gastric ulcer,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,1/63 %1.59,0/32 %0.0
Gastroduodenitis,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Gastrointestinal haemorrhage,0/4 %0.0,0/3 %0.0,0/3 %0.0,1/3 %33.33,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Haematochezia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Haemorrhoids,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Nausea,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Oesophageal varices haemorrhage,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Pancreatitis acute,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Upper gastrointestinal haemorrhage,0/4 %0.0,0/3 %0.0,0/3 %0.0,1/3 %33.33,0/7 %0.0,1/3 %33.33,0/16 %0.0,3/63 %4.76,1/32 %3.12
Vomiting,1/4 %25.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,1/7 %14.29,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
Asthenia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,1/7 %14.29,0/3 %0.0,0/16 %0.0,0/63 %0.0,2/32 %6.25
Chest pain,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Disease progression,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,1/7 %14.29,0/3 %0.0,0/16 %0.0,0/63 %0.0,0/32 %0.0
Fatigue,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Malaise,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
Pyrexia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,1/7 %14.29,0/3 %0.0,0/16 %0.0,4/63 %6.35,3/32 %9.38
Cholecystitis acute,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Hepatic failure,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,2/32 %6.25
Hepatic function abnormal,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,2/16 %12.5,0/63 %0.0,2/32 %6.25
Hepatitis,0/4 %0.0,0/3 %0.0,0/3 %0.0,1/3 %33.33,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,0/32 %0.0
Hyperbilirubinaemia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Biliary tract infection,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Cellulitis,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Peritonitis bacterial,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Pneumonia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Sepsis,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,2/63 %3.17,0/32 %0.0
Septic shock,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
Upper respiratory tract infection,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
Eye injury,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Aspartate aminotransferase increased,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,1/32 %3.12
Blood bilirubin increased,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,2/16 %12.5,1/63 %1.59,1/32 %3.12
Blood creatinine increased,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Blood urea increased,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Decreased appetite,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,1/7 %14.29,0/3 %0.0,0/16 %0.0,0/63 %0.0,0/32 %0.0
Hyperkalaemia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Hypoglycaemia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,2/63 %3.17,0/32 %0.0
Hyponatraemia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Back pain,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
Musculoskeletal chest pain,0/4 %0.0,0/3 %0.0,0/3 %0.0,1/3 %33.33,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,0/32 %0.0
Pathological fracture,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,1/63 %1.59,0/32 %0.0
Hepatic cancer metastatic,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
Hepatocellular carcinoma,1/4 %25.0,0/3 %0.0,0/3 %0.0,1/3 %33.33,2/7 %28.57,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
Malignant neoplasm progression,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,6/63 %9.52,2/32 %6.25
Metastases to central nervous system,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,1/32 %3.12
Metastatic pain,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,1/7 %14.29,0/3 %0.0,0/16 %0.0,0/63 %0.0,0/32 %0.0
Nasal sinus cancer,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Tumour associated fever,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Tumour haemorrhage,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Tumour rupture,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,1/7 %14.29,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Cognitive disorder,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Headache,1/4 %25.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,0/32 %0.0
Hemiparesis,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Hepatic encephalopathy,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Sciatica,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Anxiety,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Renal failure,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Renal failure chronic,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Dyspnoea,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,2/63 %3.17,0/32 %0.0
Pleural effusion,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Pneumonia aspiration,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Pneumonitis,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,1/16 %6.25,0/63 %0.0,0/32 %0.0
Pulmonary embolism,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,0/63 %0.0,1/32 %3.12
Respiratory failure,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0
Visceral arterial ischaemia,0/4 %0.0,0/3 %0.0,0/3 %0.0,0/3 %0.0,0/7 %0.0,0/3 %0.0,0/16 %0.0,1/63 %1.59,0/32 %0.0

Sorafenib Tosylate With or Without Doxorubicin Hydrochloride in Treating Patients With Locally Advanced or Metastatic Liver Cancer(https://clinicaltrials.gov/show/NCT01015833)
 ,Arm I (Doxorubicin Hydrochloride Sorafenib Tosylate),Arm II (Sorafenib Tosylate)
 ,Patients receive 60 mg/m2 doxorubicin hydrochloride IV on day 1 and 400 mg sorafenib tosylate PO QD or BID on days 1-21. Treatment repeats every 21 days for 6 courses in the absence of disease progression or unacceptable toxicity. After 6 courses patients may continue to receive sorafenib tosylate PO QD or BID in the absence of disease progression or unacceptable toxicity.,Patients receive 400 mg sorafenib tosylate PO QD or BID on days 1-21. Courses repeat every 21 days in the absence of disease progression or unacceptable toxicity.
Total all-cause mortality,12/167 %7.19,16/171 %9.36
Total serious adverse events,71/167 %42.51,57/171 %33.33
Anemia,9/167 %5.39,4/171 %2.34
Febrile neutropenia,7/167 %4.19,0/171 %0.0
Leukocytosis,1/167 %0.6,0/171 %0.0
Spleen disorder,0/167 %0.0,1/171 %0.58
Thrombotic thrombocytopenic purpura,0/167 %0.0,1/171 %0.58
Atrial fibrillation,3/167 %1.8,1/171 %0.58
Cardiac disorder,1/167 %0.6,0/171 %0.0
Chest pain - cardiac,0/167 %0.0,1/171 %0.58
Left ventricular systolic dysfunction,3/167 %1.8,0/171 %0.0
Myocardial infarction,1/167 %0.6,0/171 %0.0
Palpitations,1/167 %0.6,0/171 %0.0
Sinus bradycardia,0/167 %0.0,1/171 %0.58
Sinus tachycardia,1/167 %0.6,1/171 %0.58
Hypothyroidism,1/167 %0.6,1/171 %0.58
Conjunctivitis,1/167 %0.6,0/171 %0.0
Abdominal distension,0/167 %0.0,1/171 %0.58
Abdominal pain,22/167 %13.17,28/171 %16.37
Anal mucositis,1/167 %0.6,0/171 %0.0
Ascites,3/167 %1.8,2/171 %1.17
Colitis,2/167 %1.2,0/171 %0.0
Constipation,1/167 %0.6,0/171 %0.0
Diarrhea,27/167 %16.17,13/171 %7.6
Dyspepsia,1/167 %0.6,0/171 %0.0
Dysphagia,3/167 %1.8,0/171 %0.0
Esophageal ulcer,1/167 %0.6,0/171 %0.0
Esophageal varices hemorrhage,1/167 %0.6,4/171 %2.34
Esophagitis,2/167 %1.2,0/171 %0.0
Gastric hemorrhage,0/167 %0.0,2/171 %1.17
Gastrointestinal disorders - Other specify,0/167 %0.0,1/171 %0.58
Hemorrhoidal hemorrhage,0/167 %0.0,1/171 %0.58
Lower gastrointestinal hemorrhage,1/167 %0.6,0/171 %0.0
Mucositis oral,17/167 %10.18,4/171 %2.34
Nausea,34/167 %20.36,24/171 %14.04
Pancreatitis,2/167 %1.2,0/171 %0.0
Rectal hemorrhage,1/167 %0.6,0/171 %0.0
Rectal mucositis,1/167 %0.6,0/171 %0.0
Upper gastrointestinal hemorrhage,1/167 %0.6,3/171 %1.75
Vomiting,4/167 %2.4,6/171 %3.51
Death NOS,4/167 %2.4,7/171 %4.09
Edema limbs,1/167 %0.6,0/171 %0.0
Edema trunk,0/167 %0.0,1/171 %0.58
Fatigue,49/167 %29.34,32/171 %18.71
Fever,2/167 %1.2,1/171 %0.58
Localized edema,0/167 %0.0,1/171 %0.58
Multi-organ failure,1/167 %0.6,0/171 %0.0
Non-cardiac chest pain,0/167 %0.0,2/171 %1.17
Pain,1/167 %0.6,0/171 %0.0
Sudden death NOS,1/167 %0.6,2/171 %1.17
Cholecystitis,0/167 %0.0,1/171 %0.58
Gallbladder obstruction,1/167 %0.6,1/171 %0.58
Hepatic failure,3/167 %1.8,1/171 %0.58
Hepatic hemorrhage,0/167 %0.0,2/171 %1.17
Hepatobiliary disorders - Other specify,0/167 %0.0,1/171 %0.58
Anaphylaxis,1/167 %0.6,0/171 %0.0
Abdominal infection,0/167 %0.0,1/171 %0.58
Bone infection,1/167 %0.6,1/171 %0.58
Infections and infestations - Other specify,3/167 %1.8,1/171 %0.58
Lung infection,6/167 %3.59,0/171 %0.0
Peritoneal infection,1/167 %0.6,1/171 %0.58
Rash pustular,1/167 %0.6,0/171 %0.0
Sepsis,5/167 %2.99,2/171 %1.17
Skin infection,2/167 %1.2,2/171 %1.17
Urinary tract infection,1/167 %0.6,0/171 %0.0
Wound infection,0/167 %0.0,1/171 %0.58
Fall,0/167 %0.0,2/171 %1.17
Fracture,0/167 %0.0,1/171 %0.58
Wound complication,1/167 %0.6,0/171 %0.0
Activated partial thromboplastin time prolonged,0/167 %0.0,1/171 %0.58
Alanine aminotransferase increased,3/167 %1.8,3/171 %1.75
Alkaline phosphatase increased,3/167 %1.8,4/171 %2.34
Aspartate aminotransferase increased,4/167 %2.4,6/171 %3.51
Blood bilirubin increased,8/167 %4.79,7/171 %4.09
Creatinine increased,3/167 %1.8,0/171 %0.0
Ejection fraction decreased,3/167 %1.8,1/171 %0.58
Haptoglobin decreased,1/167 %0.6,0/171 %0.0
INR increased,2/167 %1.2,1/171 %0.58
Leukocyte count decreased,1/167 %0.6,0/171 %0.0
Lipase increased,1/167 %0.6,0/171 %0.0
Lymphocyte count decreased,6/167 %3.59,2/171 %1.17
Neutrophil count decreased,31/167 %18.56,0/171 %0.0
Platelet count decreased,35/167 %20.96,20/171 %11.7
Weight loss,2/167 %1.2,1/171 %0.58
White blood cell decreased,10/167 %5.99,0/171 %0.0
Anorexia,5/167 %2.99,4/171 %2.34
Dehydration,14/167 %8.38,5/171 %2.92
Hyperglycemia,2/167 %1.2,2/171 %1.17
Hyperkalemia,4/167 %2.4,1/171 %0.58
Hypernatremia,0/167 %0.0,1/171 %0.58
Hypoalbuminemia,4/167 %2.4,1/171 %0.58
Hypokalemia,2/167 %1.2,0/171 %0.0
Hypomagnesemia,0/167 %0.0,1/171 %0.58
Hyponatremia,10/167 %5.99,4/171 %2.34
Hypophosphatemia,4/167 %2.4,1/171 %0.58
Metabolism and nutrition disorders - Other specify,0/167 %0.0,1/171 %0.58
Serum phosphate decreased,1/167 %0.6,0/171 %0.0
Back pain,1/167 %0.6,1/171 %0.58
Bone pain,0/167 %0.0,1/171 %0.58
Generalized muscle weakness,1/167 %0.6,1/171 %0.58
Myalgia,1/167 %0.6,0/171 %0.0
Neoplasms benign malignant and unspecified (incl cysts and polyps) - Other specify,1/167 %0.6,3/171 %1.75
Treatment related secondary malignancy,2/167 %1.2,0/171 %0.0
Amnesia,1/167 %0.6,0/171 %0.0
Headache,0/167 %0.0,1/171 %0.58
Intracranial hemorrhage,0/167 %0.0,1/171 %0.58
Nervous system disorders - Other specify,1/167 %0.6,0/171 %0.0
Seizure,0/167 %0.0,1/171 %0.58
Syncope vasovagal,1/167 %0.6,0/171 %0.0
Anxiety,1/167 %0.6,1/171 %0.58
Confusion,1/167 %0.6,2/171 %1.17
Acute kidney injury,1/167 %0.6,0/171 %0.0
Hematuria,2/167 %1.2,1/171 %0.58
Urogenital disorder,1/167 %0.6,0/171 %0.0
Dyspnea,4/167 %2.4,4/171 %2.34
Epistaxis,1/167 %0.6,3/171 %1.75
Hypoxia,1/167 %0.6,1/171 %0.58
Pulmonary edema,0/167 %0.0,1/171 %0.58
Sore throat,1/167 %0.6,0/171 %0.0
Alopecia,2/167 %1.2,0/171 %0.0
Erythema multiforme,1/167 %0.6,0/171 %0.0
Palmar-plantar erythrodysesthesia syndrome,13/167 %7.78,10/171 %5.85
Pruritus,1/167 %0.6,0/171 %0.0
Rash maculo-papular,1/167 %0.6,2/171 %1.17
Scalp pain,0/167 %0.0,1/171 %0.58
Skin ulceration,3/167 %1.8,3/171 %1.75
Stevens-Johnson syndrome,1/167 %0.6,0/171 %0.0
Hypertension,21/167 %12.57,16/171 %9.36
Hypotension,2/167 %1.2,1/171 %0.58
Thromboembolic event,0/167 %0.0,3/171 %1.75

Sorafenib With Capecitabine for Patients With Measurable Hepatocellular Carcinoma(https://clinicaltrials.gov/show/NCT01032850)
 ,Arm 1: Sorafenib & Capecitabine
 ,Intervention: Sorafenib & Capecitabine: Sorafenib twice a day by mouth (400 mg) Capecitabine twice a day by mouth (850 mg) Sorafenib & Capecitabine: Intervention: Sorafenib twice a day by mouth (400 mg) Capecitabine twice a day by mouth (850 mg). One cycle of treatment will consist of capecitabine on days 1-7 and 15-22 while sorafenib will be given daily continuously. Cycles will be repeated every 28 days.
Total serious adverse events,2/13 %15.38
Nausea,1/13 %7.69
Vomiting,1/13 %7.69
Fatigue,1/13 %7.69
Fever,1/13 %7.69
Death,1/13 %7.69
Hyponatremia (Low sodium levels),1/13 %7.69
Anorexia (lack of appetite),1/13 %7.69
Dehydration,1/13 %7.69
Weakness,1/13 %7.69

Sorafenib Tosylate and Erlotinib Hydrochloride in Treating Patients With Locally Advanced  Unresectable  or Metastatic Gallbladder Cancer or Cholangiocarcinoma(https://clinicaltrials.gov/show/NCT01093222)
 ,Sorafenib and Erlotinib
 ,Patients receive sorafenib tosylate 400 mg PO twice daily and erlotinib hydrochloride 100 mg PO once daily on days 1-28. Treatment repeats every 28 days in the absence of disease progression or unacceptable toxicity.
Total serious adverse events,17/34 %50.0
Cardiac arrest,1/34 %2.94
Abdominal pain,4/34 %11.76
Ascites,1/34 %2.94
Diarrhea,1/34 %2.94
Duodenal ulcer,1/34 %2.94
Gastric perforation,1/34 %2.94
Gastritis,1/34 %2.94
Gastrointestinal disorders - Other specify,1/34 %2.94
Nausea,3/34 %8.82
Small intestinal obstruction,1/34 %2.94
Vomiting,2/34 %5.88
Death NOS,6/34 %17.65
Multi-organ failure,1/34 %2.94
Bile duct stenosis,1/34 %2.94
Gallbladder obstruction,1/34 %2.94
Hepatic necrosis,1/34 %2.94
Hepatobiliary disorders - Other specify,1/34 %2.94
Allergic reaction,1/34 %2.94
Device related infection,1/34 %2.94
Hepatic infection,1/34 %2.94
Lung infection,1/34 %2.94
Sepsis,3/34 %8.82
Alanine aminotransferase increased,1/34 %2.94
Alkaline phosphatase increased,2/34 %5.88
Aspartate aminotransferase increased,2/34 %5.88
Blood bilirubin increased,4/34 %11.76
Dehydration,2/34 %5.88
Hypoalbuminemia,2/34 %5.88
Generalized muscle weakness,1/34 %2.94
Neoplasms benign malignant and unspecified - Other,1/34 %2.94
Dizziness,1/34 %2.94
Lethargy,1/34 %2.94
Dyspnea,1/34 %2.94
Erythema multiforme,1/34 %2.94
Hypertension,1/34 %2.94

Velcade and Sorafenib in Unresected or Metastatic Renal Cell Carcinoma(https://clinicaltrials.gov/show/NCT01100242)
 ,VELCADE and Sorafenib
 ,VELCADE® (bortezomib) 1mg/m2 intravenously on days 148 & 11 and sorafenib at 200 mg orally twice per day. One full course is comprised of 21 days.
Total serious adverse events,6/17 %35.29
Chest pain,1/17 %5.88
Pain - other,1/17 %5.88
Pancreatitis,1/17 %5.88
Infection - Other,1/17 %5.88
Seizure,1/17 %5.88
Urinary retention,1/17 %5.88
Dyspnea (Shortness of breath),1/17 %5.88

A Study of Ramucirumab (IMC-1121B) Drug Product (DP) and Best Supportive Care (BSC) Versus Placebo and BSC as 2nd-Line Treatment in Participants With Hepatocellular Carcinoma After 1st-Line Therapy With Sorafenib(https://clinicaltrials.gov/show/NCT01140347)
 ,Ramucirumab (IMC-1121B) + BSC,Placebo + BSC
 ,Ramucirumab 8 mg/kg IV infusion every 2 weeks. BSC: Palliative and supportive care for disease-related symptoms and toxicity associated with treatment as deemed medically necessary and appropriate in the opinion of the investigator.,Placebo: 8 mg/kg IV infusion every 2 weeks. BSC: Palliative and supportive care for disease-related symptoms and toxicity associated with treatment as deemed medically necessary and appropriate in the opinion of the investigator.
Total serious adverse events,124/277 %44.77,92/276 %33.33
Anaemia,0/277 %0.0,2/276 %0.72
Disseminated intravascular coagulation,1/277 %0.36,0/276 %0.0
Neutropenia,1/277 %0.36,0/276 %0.0
Thrombocytopenia,1/277 %0.36,0/276 %0.0
Cardiac failure,0/277 %0.0,1/276 %0.36
Pericardial effusion,1/277 %0.36,0/276 %0.0
Supraventricular tachycardia,1/277 %0.36,0/276 %0.0
Retinal detachment,1/277 %0.36,0/276 %0.0
Abdominal distension,1/277 %0.36,1/276 %0.36
Abdominal pain,6/277 %2.17,9/276 %3.26
Abdominal pain upper,0/277 %0.0,1/276 %0.36
Ascites,8/277 %2.89,3/276 %1.09
Colitis,0/277 %0.0,1/276 %0.36
Diarrhoea,1/277 %0.36,0/276 %0.0
Duodenal ulcer,1/277 %0.36,0/276 %0.0
Dysphagia,1/277 %0.36,0/276 %0.0
Food poisoning,1/277 %0.36,0/276 %0.0
Gastric antral vascular ectasia,1/277 %0.36,0/276 %0.0
Gastric haemorrhage,1/277 %0.36,1/276 %0.36
Gastric varices haemorrhage,1/277 %0.36,0/276 %0.0
Gastroduodenitis,1/277 %0.36,0/276 %0.0
Gastrointestinal haemorrhage,7/277 %2.53,0/276 %0.0
Haemorrhoids,0/277 %0.0,1/276 %0.36
Ileus,0/277 %0.0,1/276 %0.36
Inguinal hernia,0/277 %0.0,1/276 %0.36
Intestinal obstruction,0/277 %0.0,1/276 %0.36
Irritable bowel syndrome,1/277 %0.36,0/276 %0.0
Large intestine perforation,1/277 %0.36,0/276 %0.0
Melaena,0/277 %0.0,1/276 %0.36
Nausea,2/277 %0.72,1/276 %0.36
Oesophageal haemorrhage,1/277 %0.36,1/276 %0.36
Oesophageal varices haemorrhage,4/277 %1.44,10/276 %3.62
Pancreatitis,0/277 %0.0,1/276 %0.36
Peritoneal haemorrhage,1/277 %0.36,0/276 %0.0
Small intestinal obstruction,0/277 %0.0,1/276 %0.36
Umbilical hernia,1/277 %0.36,0/276 %0.0
Upper gastrointestinal haemorrhage,2/277 %0.72,1/276 %0.36
Varices oesophageal,1/277 %0.36,0/276 %0.0
Vomiting,1/277 %0.36,1/276 %0.36
Asthenia,4/277 %1.44,1/276 %0.36
Chills,1/277 %0.36,0/276 %0.0
Death,1/277 %0.36,0/276 %0.0
Extravasation,0/277 %0.0,1/276 %0.36
Fatigue,1/277 %0.36,2/276 %0.72
General physical health deterioration,9/277 %3.25,3/276 %1.09
Generalised oedema,1/277 %0.36,0/276 %0.0
Hernia obstructive,1/277 %0.36,0/276 %0.0
Hyperthermia,1/277 %0.36,0/276 %0.0
Malaise,0/277 %0.0,1/276 %0.36
Multi-organ failure,2/277 %0.72,1/276 %0.36
Non-cardiac chest pain,1/277 %0.36,1/276 %0.36
Oedema,0/277 %0.0,2/276 %0.72
Oedema peripheral,2/277 %0.72,1/276 %0.36
Pyrexia,7/277 %2.53,3/276 %1.09
Sudden death,1/277 %0.36,0/276 %0.0
Acute hepatic failure,1/277 %0.36,0/276 %0.0
