
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Pleural effusion (non-malignant),1/625 %0.16,1/628 %0.16,0/626 %0.0
Voice changes/dysarthria,0/625 %0.0,1/628 %0.16,0/626 %0.0
Dry skin,0/625 %0.0,1/628 %0.16,0/626 %0.0
Nail changes,1/625 %0.16,0/628 %0.0,0/626 %0.0
Pruritus/itching,1/625 %0.16,11/628 %1.75,1/626 %0.16
Rash/desquamation,15/625 %2.4,93/628 %14.81,3/626 %0.48
Rash: acne/acneiform,0/625 %0.0,2/628 %0.32,0/626 %0.0
Erythema multiforme,0/625 %0.0,1/628 %0.16,0/626 %0.0
Hand-foot reaction,94/625 %15.04,208/628 %33.12,7/626 %1.12
Urticaria,0/625 %0.0,1/628 %0.16,0/626 %0.0
Scalp pain,0/625 %0.0,2/628 %0.32,0/626 %0.0
Skin pain,0/625 %0.0,1/628 %0.16,0/626 %0.0
Hypertension,104/625 %16.64,96/628 %15.29,15/626 %2.4
Hypotension,1/625 %0.16,0/628 %0.0,0/626 %0.0
Thrombosis/thrombus/embolism,3/625 %0.48,5/628 %0.8,1/626 %0.16
Vascular-Other (Specify),0/625 %0.0,1/628 %0.16,0/626 %0.0

Sorafenib  Carboplatin  and Paclitaxel in Treating Patients With Stage IV Melanoma of the Eye(https://clinicaltrials.gov/show/NCT00329641)
 ,Intervention
 ,Sorafenib Carboplatin Paclitaxel
Total serious adverse events,2/24 %8.33
Neutrophils/granulocytes (ANC/AGC),1/24 %4.17
Rash/desquamation,1/24 %4.17

Sorafenib in Treating Patients With Soft Tissue Sarcomas (Extremity Sarcoma Closed to Entry as of 5/30/07)(https://clinicaltrials.gov/show/NCT00330421)
 ,Group II (Metastatic or Inoperable Sarcomas)
 ,Patients receive oral sorafenib twice daily on days 1-28. Treatment repeats every 28 days for 2 courses. Patients with responding or stable disease may continue sorafenib in the absence of disease progression or unacceptable toxicity. Biopsy tissue and blood samples are examined for biomarkers and IFP is measured at baseline and on days 28 and 56. laboratory biomarker analysis : Correlative studies sorafenib tosylate : Given PO pharmacological study : Correlative studies computed tomography : Correlative studies dynamic contrast-enhanced magnetic resonance imaging : Correlative studies
Total serious adverse events,11/15 %73.33
Hemoglobin,8/15 %53.33
Hematologic - other,6/15 %40.0
Diarrhea,6/15 %40.0
Abdominal pain,5/15 %33.33
Fatigue,11/15 %73.33
Anorexia,5/15 %33.33
Alkaline phosphatase,7/15 %46.67
AST,7/15 %46.67

Sorafenib Combined With Erlotinib  Tipifarnib  or Temsirolimus in Treating Patients With Recurrent Glioblastoma Multiforme or Gliosarcoma(https://clinicaltrials.gov/show/NCT00335764)
 ,Group 1 Phase I Sorafenib and Erlotinib,Group 2 Phase I Sorafenib and Temsirolimus,Group 3 Phase I Sorafenib and Tipifarnib,Group 1 Phase II Sorafenib and Erlotinib,Group 2 Phase II Sorafenib and Temsirolimus
 ,Patients receive oral sorafenib tosylate twice daily and oral erlotinib hydrochloride once daily on days 1-28. sorafenib tosylate: given orally erlotinib hydrochloride: given orally,Patients receive sorafenib tosylate as in group 2. Patients also receive temsirolimus IV over 30 minutes on days 1 8 15 and 22. sorafenib tosylate: given orally temsirolimus: IV administration,Patients receive sorafenib tosylate as in group 3. Patients also receive oral tipifarnib twice daily on days 1-21. sorafenib tosylate: given orally tipifarnib: given orally,Patients receive oral sorafenib tosylate twice daily and oral erlotinib hydrochloride once daily on days 1-28. sorafenib tosylate: given orally erlotinib hydrochloride: given orally,Patients receive sorafenib tosylate 400 mg BID as in group 2. Patients also receive temsirolimus IV 25 mg over 30 minutes on days 1 8 15 and 22. sorafenib tosylate: given orally temsirolimus: IV administration
Total all-cause mortality,15/16 %93.75,13/13 %100.0,24/24 %100.0,19/19 %100.0,18/18 %100.0
Total serious adverse events,0/16 %0.0,0/13 %0.0,4/24 %16.67,1/19 %5.26,2/18 %11.11
Abdominal pain,0/16 %0.0,0/13 %0.0,1/24 %4.17,0/19 %0.0,0/18 %0.0
Diarrhea,0/16 %0.0,0/13 %0.0,0/24 %0.0,1/19 %5.26,1/18 %5.56
Pancrease infection,0/16 %0.0,0/13 %0.0,1/24 %4.17,0/19 %0.0,0/18 %0.0
Lipase increased,0/16 %0.0,0/13 %0.0,1/24 %4.17,0/19 %0.0,0/18 %0.0
Serum amylase increased,0/16 %0.0,0/13 %0.0,1/24 %4.17,0/19 %0.0,0/18 %0.0
Hypertriglyceridemia,0/16 %0.0,0/13 %0.0,0/24 %0.0,0/19 %0.0,1/18 %5.56
Encephalopathy,0/16 %0.0,0/13 %0.0,1/24 %4.17,0/19 %0.0,0/18 %0.0
Headache,0/16 %0.0,0/13 %0.0,1/24 %4.17,0/19 %0.0,0/18 %0.0
Seizure,0/16 %0.0,0/13 %0.0,0/24 %0.0,0/19 %0.0,1/18 %5.56
Confusion,0/16 %0.0,0/13 %0.0,1/24 %4.17,1/19 %5.26,0/18 %0.0
Rash acneiform,0/16 %0.0,0/13 %0.0,1/24 %4.17,0/19 %0.0,0/18 %0.0
Hypertension,0/16 %0.0,0/13 %0.0,1/24 %4.17,0/19 %0.0,0/18 %0.0
Thromboembolic event,0/16 %0.0,0/13 %0.0,1/24 %4.17,0/19 %0.0,0/18 %0.0

Sorafenib Tosylate in Treating Patients With Metastatic  Locally Advanced  or Recurrent Medullary Thyroid Cancer(https://clinicaltrials.gov/show/NCT00390325)
 ,Arm A (Hereditary MTC) and Arm B (Sporadic MTC)
 ,Arm A: Sorafenib (BAY 43-9006) was administered at the dose of 400 mg orally twice a day on a continuous basis. Arm B: Sorafenib (BAY 43-9006) was administered at the dose of 400 mg orally twice a day on a continuous basis.
Total all-cause mortality,1/21 %4.76
Total serious adverse events,5/21 %23.81
Cardiac ischemia/infarction,1/21 %4.76
Perforation GI-small bowel,1/21 %4.76
Infection,1/21 %4.76
Hypokalemia,1/21 %4.76
Renal Failure,1/21 %4.76
Thrombosis/Thrombus/embois,1/21 %4.76

Paclitaxel and Carboplatin With Or Without Sorafenib In The First-Line Treatment Of Patients With Ovarian Cancer(https://clinicaltrials.gov/show/NCT00390611)
 ,Paclitaxel/Carboplatin/Sorafenib,Paclitaxel/Carboplatin
 ,Paclitaxel 175 mg/m2 1-3 hour IV infusion Day 1 Carboplatin AUC 6 infused over 20 minutes IV Day 1 Sorafenib 400mg PO bid Sorafenib Paclitaxel: Paclitaxel Carboplatin: Carboplatin,Paclitaxel 175 mg/m2 1-3 hour IV infusion Day 1 Carboplatin AUC 6 infused over 20 minutes IV Paclitaxel: Paclitaxel Carboplatin: Carboplatin
Total serious adverse events,12/43 %27.91,10/42 %23.81
Anemia,0/43 %0.0,1/42 %2.38
Febrile neutropenia,1/43 %2.33,0/42 %0.0
Atrial fibrillation,1/43 %2.33,0/42 %0.0
Abdominal pain,3/43 %6.98,2/42 %4.76
Nausea,1/43 %2.33,3/42 %7.14
Vomiting,1/43 %2.33,3/42 %7.14
Gastrointestinal disorders - Other small bowel obstruction,1/43 %2.33,1/42 %2.38
Colitis,0/43 %0.0,1/42 %2.38
Constipation,0/43 %0.0,1/42 %2.38
Diarrhea,0/43 %0.0,1/42 %2.38
Gastrointestinal disorders - Other hemorrhage,0/43 %0.0,1/42 %2.38
Lower gastrointestinal hemorrhage,1/43 %2.33,0/42 %0.0
Upper gastrointestinal hemorrhage,1/43 %2.33,0/42 %0.0
General disorders and administration site conditions - Other disease progression,1/43 %2.33,0/42 %0.0
General disorders and administration site conditions - Other failure to thrive,0/43 %0.0,1/42 %2.38
Infusion related reaction,1/43 %2.33,0/42 %0.0
Cholecystitis,1/43 %2.33,0/42 %0.0
Allergic reaction,4/43 %9.3,1/42 %2.38
Investigations - Other pancytopenia,0/43 %0.0,1/42 %2.38
Dehydration,0/43 %0.0,3/42 %7.14
Hypokalemia,0/43 %0.0,1/42 %2.38
Metabolism and nutrition disorders - Other electrolyte imbalance,0/43 %0.0,1/42 %2.38
Dyspnea,1/43 %2.33,0/42 %0.0
Pleural effusion,1/43 %2.33,0/42 %0.0
Rash,1/43 %2.33,0/42 %0.0
Thromboembolic event,1/43 %2.33,1/42 %2.38
Hypotension,0/43 %0.0,1/42 %2.38

Sorafenib and Bevacizumab to Treat Ovarian  Fallopian and Peritoneal Cancer(https://clinicaltrials.gov/show/NCT00436215)
 ,BAY 43-9006 + Bevacizumab
 ,BAY 43-9006 (sorafenib) + Bevacizumab Bevacizumab: bevacizumab 5 mg/kg intravenous (IV) every two weeks BAY 43-9006: BAY 43-9006 200 mg po (by mouth) twice daily 5 out of 7 days each week (Mon-Fri)
Total all-cause mortality,1/55 %1.82
Total serious adverse events,25/55 %45.45
Pericardial effusion,1/55 %1.82
Abdominal pain,5/55 %9.09
Diarrhea,1/55 %1.82
Gastrointestinal disorders - Other specify,1/55 %1.82
Nausea,2/55 %3.64
Obstruction gastric,1/55 %1.82
Small intestinal obstruction,7/55 %12.73
Vomiting,1/55 %1.82
Fever,2/55 %3.64
Hepatobiliary disorders - Other specify (bile duct obstruction),1/55 %1.82
Allergic reaction,1/55 %1.82
Catheter related infection,1/55 %1.82
Cecal infection,1/55 %1.82
Wound infection,1/55 %1.82
Vascular access complication,1/55 %1.82
Dehydration,1/55 %1.82
Hyponatremia,1/55 %1.82
Headache,1/55 %1.82
Urinary tract obstruction,1/55 %1.82
Pleural effusion,2/55 %3.64
Pneumonitis,1/55 %1.82
Hypertension,1/55 %1.82
Thromboembolic event,4/55 %7.27
Vascular disorders - Other specify,1/55 %1.82

Pemetrexed Disodium With or Without Sorafenib as Second-Line Therapy in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00454194)
 ,Arm I (Pemetrexed + Sorafenib),Arm II (Pemetrexed)
 ,Patients receive oral sorafenib tosylate twice daily on days 1-21 and pemetrexed disodium IV over 10 minutes on day 1.,Patients receive pemetrexed disodium IV over 10 minutes on day 1.
Total serious adverse events,13/47 %27.66,7/51 %13.73
Febrile neutropenia,1/47 %2.13,0/51 %0.0
Hemoglobin decreased,1/47 %2.13,2/51 %3.92
Abdominal pain,2/47 %4.26,0/51 %0.0
Dry mouth,1/47 %2.13,0/51 %0.0
Small intestinal perforation,1/47 %2.13,0/51 %0.0
Vomiting,0/47 %0.0,1/51 %1.96
Fatigue,1/47 %2.13,0/51 %0.0
Sudden death,1/47 %2.13,0/51 %0.0
Aspartate aminotransferase increased,1/47 %2.13,0/51 %0.0
Bilirubin increased,0/47 %0.0,1/51 %1.96
Leukocyte count decreased,1/47 %2.13,1/51 %1.96
Lipase increased,0/47 %0.0,1/51 %1.96
Neutrophil count decreased,4/47 %8.51,1/51 %1.96
Platelet count decreased,3/47 %6.38,2/51 %3.92
Weight loss,1/47 %2.13,0/51 %0.0
Anorexia,1/47 %2.13,0/51 %0.0
Chest wall pain,0/47 %0.0,1/51 %1.96
Headache,0/47 %0.0,1/51 %1.96
Ischemia cerebrovascular,1/47 %2.13,0/51 %0.0
Bronchial hemorrhage,1/47 %2.13,1/51 %1.96
Dyspnea,0/47 %0.0,2/51 %3.92
Thrombosis,0/47 %0.0,1/51 %1.96

Temsirolimus Versus Sorafenib As Second-Line Therapy In Patients With Advanced RCC Who Have Failed First-Line Sunitinib(https://clinicaltrials.gov/show/NCT00474786)
 ,Temsirolimus,Sorafenib
 ,Temsirolimus 25 milligrams (mg) once weekly by intravenous (IV) infusion administered in 6 week cycles for up to 24 months participants were premedicated with 25-50 mg IV diphenydramine 30 minutes before temsirolimus infusion. In event of toxicity dose could be modified or held according to the protocol or at the discretion of the investigator.,Sorafenib 400 mg (two 200 mg tablets) by mouth (PO) twice daily (BID) administered in 6 week cycles for up to 24 months. In event of toxicity dose could be modified or held according to the protocol or at the discretion of the investigator.
Total serious adverse events,104/249 %41.77,87/252 %34.52
Anaemia,5/249 %2.01,4/252 %1.59
Febrile neutropenia,1/249 %0.4,0/252 %0.0
Lymphopenia,1/249 %0.4,0/252 %0.0
Thrombocytopenia,1/249 %0.4,0/252 %0.0
Acute myocardial infarction,1/249 %0.4,0/252 %0.0
Atrial fibrillation,0/249 %0.0,3/252 %1.19
Atrial flutter,0/249 %0.0,1/252 %0.4
Cardiac arrest,1/249 %0.4,0/252 %0.0
Cardiac tamponade,1/249 %0.4,0/252 %0.0
Cardio-respiratory arrest,1/249 %0.4,1/252 %0.4
Cardiopulmonary failure,2/249 %0.8,0/252 %0.0
Myocardial infarction,1/249 %0.4,4/252 %1.59
Myocardial ischaemia,0/249 %0.0,1/252 %0.4
Palpitations,0/249 %0.0,1/252 %0.4
Pericardial effusion,1/249 %0.4,0/252 %0.0
Prinzmetal angina,1/249 %0.4,0/252 %0.0
Hyperthyroidism,0/249 %0.0,1/252 %0.4
Toxic nodular goitre,0/249 %0.0,1/252 %0.4
Retinal artery occlusion,0/249 %0.0,1/252 %0.4
Abdominal distension,1/249 %0.4,1/252 %0.4
Abdominal pain,7/249 %2.81,1/252 %0.4
Ascites,3/249 %1.2,1/252 %0.4
Constipation,1/249 %0.4,1/252 %0.4
Diarrhoea,3/249 %1.2,1/252 %0.4
Duodenal perforation,1/249 %0.4,0/252 %0.0
Dysphagia,0/249 %0.0,1/252 %0.4
Gastrointestinal haemorrhage,0/249 %0.0,1/252 %0.4
Gastrointestinal obstruction,2/249 %0.8,0/252 %0.0
Hernial eventration,1/249 %0.4,0/252 %0.0
Hiatus hernia,0/249 %0.0,1/252 %0.4
Intestinal obstruction,1/249 %0.4,0/252 %0.0
Intestinal ulcer perforation,1/249 %0.4,0/252 %0.0
Large intestine perforation,0/249 %0.0,1/252 %0.4
Nausea,1/249 %0.4,0/252 %0.0
Obstruction gastric,0/249 %0.0,1/252 %0.4
Oesophageal hypomotility,1/249 %0.4,0/252 %0.0
Rectal haemorrhage,1/249 %0.4,0/252 %0.0
Salivary hypersecretion,1/249 %0.4,0/252 %0.0
Stomatitis,1/249 %0.4,0/252 %0.0
Vomiting,6/249 %2.41,4/252 %1.59
Asthenia,3/249 %1.2,1/252 %0.4
Chest pain,1/249 %0.4,3/252 %1.19
Fatigue,2/249 %0.8,4/252 %1.59
General physical health deterioration,8/249 %3.21,9/252 %3.57
Multi-organ failure,0/249 %0.0,1/252 %0.4
Oedema peripheral,2/249 %0.8,0/252 %0.0
Pain,1/249 %0.4,2/252 %0.79
Performance status decreased,1/249 %0.4,0/252 %0.0
Pyrexia,7/249 %2.81,4/252 %1.59
Sudden death,1/249 %0.4,1/252 %0.4
Systemic inflammatory response syndrome,0/249 %0.0,1/252 %0.4
Cholecystitis acute,1/249 %0.4,0/252 %0.0
Bile duct stone,1/249 %0.4,0/252 %0.0
Cholecystitis,1/249 %0.4,0/252 %0.0
Cholestasis,1/249 %0.4,0/252 %0.0
Gallbladder obstruction,0/249 %0.0,1/252 %0.4
Hepatobiliary disease,0/249 %0.0,1/252 %0.4
Anaphylactic reaction,1/249 %0.4,0/252 %0.0
Drug hypersensitivity,0/249 %0.0,1/252 %0.4
Abdominal infection,1/249 %0.4,0/252 %0.0
Abscess intestinal,0/249 %0.0,1/252 %0.4
Anal abscess,0/249 %0.0,1/252 %0.4
Bronchitis,1/249 %0.4,0/252 %0.0
Chest wall abscess,0/249 %0.0,1/252 %0.4
Cholangitis suppurative,0/249 %0.0,1/252 %0.4
Device related infection,2/249 %0.8,0/252 %0.0
Enterococcal bacteraemia,0/249 %0.0,1/252 %0.4
Hepatitis B,1/249 %0.4,0/252 %0.0
Herpes zoster,1/249 %0.4,0/252 %0.0
Infection,0/249 %0.0,1/252 %0.4
Infectious pleural effusion,0/249 %0.0,1/252 %0.4
Lobar pneumonia,1/249 %0.4,0/252 %0.0
Lower respiratory tract infection,2/249 %0.8,0/252 %0.0
Lung infection,1/249 %0.4,0/252 %0.0
Perirectal abscess,1/249 %0.4,0/252 %0.0
Pharyngitis,1/249 %0.4,0/252 %0.0
Pneumocystis jiroveci pneumonia,1/249 %0.4,0/252 %0.0
Pneumonia,7/249 %2.81,7/252 %2.78
Pneumonia influenzal,1/249 %0.4,0/252 %0.0
Pneumonia legionella,1/249 %0.4,0/252 %0.0
Pulmonary tuberculosis,0/249 %0.0,1/252 %0.4
Respiratory tract infection,1/249 %0.4,0/252 %0.0
Sepsis,2/249 %0.8,2/252 %0.79
Septic shock,1/249 %0.4,0/252 %0.0
Subcutaneous abscess,1/249 %0.4,0/252 %0.0
Tooth abscess,0/249 %0.0,1/252 %0.4
Urosepsis,0/249 %0.0,1/252 %0.4
Wound infection,0/249 %0.0,1/252 %0.4
Compression fracture,1/249 %0.4,0/252 %0.0
Hip fracture,0/249 %0.0,1/252 %0.4
Humerus fracture,0/249 %0.0,1/252 %0.4
Infusion related reaction,1/249 %0.4,0/252 %0.0
Ligament sprain,0/249 %0.0,1/252 %0.4
Lumbar vertebral fracture,1/249 %0.4,0/252 %0.0
Overdose,0/249 %0.0,1/252 %0.4
Pelvic fracture,1/249 %0.4,0/252 %0.0
Radiation mucositis,0/249 %0.0,1/252 %0.4
Alanine aminotransferase increased,0/249 %0.0,2/252 %0.79
Aspartate aminotransferase increased,0/249 %0.0,3/252 %1.19
Blood potassium increased,0/249 %0.0,1/252 %0.4
Prostatic specific antigen increased,0/249 %0.0,1/252 %0.4
Weight decreased,0/249 %0.0,1/252 %0.4
Cachexia,1/249 %0.4,0/252 %0.0
Decreased appetite,0/249 %0.0,2/252 %0.79
Dehydration,7/249 %2.81,6/252 %2.38
Diabetes mellitus inadequate control,1/249 %0.4,0/252 %0.0
Hypercalcaemia,1/249 %0.4,3/252 %1.19
Hypercholesterolaemia,1/249 %0.4,0/252 %0.0
Hyperglycaemia,2/249 %0.8,1/252 %0.4
Hyperkalaemia,0/249 %0.0,1/252 %0.4
Hypertriglyceridaemia,1/249 %0.4,0/252 %0.0
Hyponatraemia,0/249 %0.0,3/252 %1.19
Malnutrition,0/249 %0.0,1/252 %0.4
Arthralgia,2/249 %0.8,0/252 %0.0
Back pain,0/249 %0.0,3/252 %1.19
Bone lesion,1/249 %0.4,0/252 %0.0
Bone pain,1/249 %0.4,0/252 %0.0
Costochondritis,0/249 %0.0,1/252 %0.4
Flank pain,1/249 %0.4,0/252 %0.0
Intervertebral disc protrusion,0/249 %0.0,1/252 %0.4
Musculoskeletal chest pain,0/249 %0.0,1/252 %0.4
Musculoskeletal pain,1/249 %0.4,0/252 %0.0
Neck pain,0/249 %0.0,1/252 %0.4
Osteolysis,1/249 %0.4,1/252 %0.4
Pain in extremity,2/249 %0.8,3/252 %1.19
Pathological fracture,1/249 %0.4,0/252 %0.0
Spinal disorder,0/249 %0.0,1/252 %0.4
Malignant pleural effusion,1/249 %0.4,0/252 %0.0
Squamous cell carcinoma,0/249 %0.0,2/252 %0.79
Cerebral infarction,0/249 %0.0,1/252 %0.4
Cerebral ischaemia,0/249 %0.0,1/252 %0.4
Cerebrovascular accident,2/249 %0.8,0/252 %0.0
Cognitive disorder,0/249 %0.0,1/252 %0.4
Convulsion,0/249 %0.0,1/252 %0.4
Headache,1/249 %0.4,1/252 %0.4
Hypoaesthesia,0/249 %0.0,1/252 %0.4
Paraesthesia,1/249 %0.4,0/252 %0.0
Peripheral motor neuropathy,0/249 %0.0,1/252 %0.4
Spinal cord compression,1/249 %0.4,2/252 %0.79
Syncope,0/249 %0.0,1/252 %0.4
Unresponsive to stimuli,0/249 %0.0,1/252 %0.4
Completed suicide,1/249 %0.4,1/252 %0.4
Confusional state,0/249 %0.0,3/252 %1.19
Haematuria,1/249 %0.4,0/252 %0.0
Nephrotic syndrome,0/249 %0.0,1/252 %0.4
Renal failure,4/249 %1.61,1/252 %0.4
Renal failure acute,1/249 %0.4,1/252 %0.4
Renal tubular necrosis,1/249 %0.4,0/252 %0.0
Urinary retention,2/249 %0.8,0/252 %0.0
Prostatic haemorrhage,0/249 %0.0,1/252 %0.4
Asthmatic crisis,0/249 %0.0,1/252 %0.4
Dyspnoea,7/249 %2.81,8/252 %3.17
Epistaxis,1/249 %0.4,0/252 %0.0
Haemoptysis,0/249 %0.0,1/252 %0.4
Interstitial lung disease,2/249 %0.8,0/252 %0.0
Lung disorder,2/249 %0.8,0/252 %0.0
Pleural effusion,7/249 %2.81,5/252 %1.98
Pleuritic pain,1/249 %0.4,0/252 %0.0
Pneumonitis,7/249 %2.81,0/252 %0.0
Pneumothorax,3/249 %1.2,0/252 %0.0
Pulmonary embolism,1/249 %0.4,0/252 %0.0
Respiratory arrest,0/249 %0.0,1/252 %0.4
Respiratory distress,1/249 %0.4,0/252 %0.0
Respiratory failure,2/249 %0.8,2/252 %0.79
Palmar-plantar erythrodysaesthesia syndrome,0/249 %0.0,1/252 %0.4
Rash,1/249 %0.4,2/252 %0.79
Rash papular,0/249 %0.0,1/252 %0.4
Lung operation,1/249 %0.4,0/252 %0.0
Medical device implantation,1/249 %0.4,0/252 %0.0
Haematoma,0/249 %0.0,1/252 %0.4
Haemorrhage,1/249 %0.4,0/252 %0.0
Hypertension,1/249 %0.4,0/252 %0.0
Hypotension,1/249 %0.4,0/252 %0.0
Thrombosis,1/249 %0.4,0/252 %0.0

Sorafenib and Everolimus in Treating Patients With Relapsed or Refractory Lymphoma or Multiple Myeloma(https://clinicaltrials.gov/show/NCT00474929)
 ,Phase I Dose Level 0,Phase I Dose Level 1,Phase I Dose Level 2,Phase I Dose Level 3,Phase II
 ,Phase I: Dose level 0: Sorafenib 200 mg twice daily RAD001 5mg every other day,Phase I: Dose level 1: Sorafenib 200 mg twice daily RAD001 5mg every day,Phase I: Dose level 2: Sorafenib 400 mg twice daily RAD001 5mg every day,Phase I: Dose level 3: Sorafenib 400 mg twice daily RAD001 10mg every day,Phase II: Sorafenib 200 mg twice daily RAD001 5mg every day;
Total serious adverse events,2/6 %33.33,1/5 %20.0,2/5 %40.0,1/5 %20.0,22/77 %28.57
Hemoglobin decreased,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,3/77 %3.9
Cardiac valve disease,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Sinus bradycardia,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Diarrhea,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Ear nose and throat examination abnormal,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,2/77 %2.6
Nausea,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Death,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Disease progression,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Fatigue,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,2/77 %2.6
Fever,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Sudden death,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Hypersensitivity,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Infectious colitis,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Sepsis,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Bilirubin increased,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Leukocyte count decreased,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,2/77 %2.6
Lymphocyte count decreased,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Neutrophil count decreased,1/6 %16.67,0/5 %0.0,1/5 %20.0,0/5 %0.0,2/77 %2.6
Platelet count decreased,1/6 %16.67,1/5 %20.0,1/5 %20.0,1/5 %20.0,2/77 %2.6
Anorexia,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Myalgia,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Tumor pain,0/6 %0.0,0/5 %0.0,1/5 %20.0,0/5 %0.0,0/77 %0.0
Ataxia,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Hand-and-foot syndrome,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Rash desquamating,0/6 %0.0,0/5 %0.0,1/5 %20.0,0/5 %0.0,2/77 %2.6
Urticaria,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Hypotension,0/6 %0.0,0/5 %0.0,0/5 %0.0,0/5 %0.0,1/77 %1.3
Thrombosis,0/6 %0.0,0/5 %0.0,1/5 %20.0,0/5 %0.0,0/77 %0.0

Capecitabine and Cisplatin (XP)+Sorafenib in Advanced Gastric Cancer (AGC): Sorafenib+XP(https://clinicaltrials.gov/show/NCT00565370)
 ,XP Plus Sorafenib
 ,Capecitabine and cisplatin plus sorafenib
Total serious adverse events,4/21 %19.05
Febrile neutropenia,1/21 %4.76
Deep vein thrombosis,2/21 %9.52
Diarrhea,1/21 %4.76
Gastric perforation,1/21 %4.76

Sorafenib and Letrozole  Anastrozole  or Exemestane in Treating Postmenopausal Women With Estrogen Receptor-Positive and/or Progesterone Receptor-Positive Metastatic Breast Cancer(https://clinicaltrials.gov/show/NCT00573755)
 ,Sorafenib Plus Aromatase Inhibitor,Placebo Plus Aromatase Inhibitor
 ,Patients receive oral sorafenib tosylate twice daily and oral letrozole anastrozole or exemestane once daily on days 1-28. Treatment repeats every 28 days in the absence of disease progression or unacceptable toxicity.,Patients receive oral placebo twice daily and oral letrozole anastrozole or exemestane once daily on days 1-28. Treatment repeats every 28 days in the absence of disease progression or unacceptable toxicity.
Total serious adverse events,1/2 %50.0,0/2 %0.0
Hemoglobin decreased,1/2 %50.0,0/2 %0.0
Thrombotic microangiopathy,1/2 %50.0,0/2 %0.0
Ear nose and throat examination abnormal,1/2 %50.0,0/2 %0.0
Mucositis oral,1/2 %50.0,0/2 %0.0
Fatigue,1/2 %50.0,0/2 %0.0
Platelet count decreased,1/2 %50.0,0/2 %0.0
Serum potassium increased,1/2 %50.0,0/2 %0.0
